sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status,u_r_block_ohm,dt_s,u_lambda_timebase_per_s,lambda_timebase_25ppm_component_per_s,lambda_error_status
forward,trace178.csv,688.89,569,divider sidecar (R0=992 ohm),,1,568,0.5,0.0,351.3577,348.805,0.73,0.55587,1582.06,86.15,82.1,25.83,0.9988,1133.12,41.2,0.9968,ok,ok,0.17994705632981106,3.999999999976245e-07,,0.01635517842560372,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace179.csv,688.0,570,divider sidecar (R0=992 ohm),,1,569,0.2,0.0,350.9821,349.2,0.51,0.5501,1567.32,88.85,77.64,43.04,0.999,1080.74,75.6,0.9977,ok,ok,0.19258570870006417,3.999999999976245e-07,,0.015599138248099905,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace180.csv,688.25,569,divider sidecar (R0=992 ohm),,1,568,0.4,0.0,351.4085,349.8,0.46,0.56722,1614.14,83.39,81.28,18.28,0.9988,1089.05,60.14,0.9968,ok,ok,0.15999870296245083,3.999999999976245e-07,,0.01571908276652405,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace181.csv,687.05,569,divider sidecar (R0=992 ohm),,1,568,0.9,0.0,351.462,350.0,0.42,0.58069,1652.2,81.48,80.11,14.35,0.9987,1181.79,54.56,0.9982,ok,ok,0.18481374805924933,3.999999999976245e-07,,0.017057669365640196,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace182.csv,686.7,569,divider sidecar (R0=992 ohm),,1,568,0.4,0.0,351.4465,349.995,0.41,0.59297,1687.22,81.0,74.68,31.11,0.9987,1233.89,37.26,0.9976,ok,ok,0.20286026679961824,3.999999999976245e-07,,0.017809668091259685,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace183.csv,686.19,570,divider sidecar (R0=992 ohm),,1,569,0.7,0.0,350.9005,349.21,0.48,0.56488,1609.8,80.84,79.62,13.47,0.9989,1191.05,38.54,0.9982,ok,ok,0.20914918921369946,3.999999999976245e-07,,0.017191325952957595,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace184.csv,684.4,570,divider sidecar (R0=992 ohm),,1,569,0.0,0.0,351.1234,350.01,0.32,0.59135,1684.18,78.49,69.05,37.1,0.9987,1161.82,34.57,0.9978,ok,ok,0.17832830493897905,3.999999999976245e-07,,0.016769427243747276,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace185.csv,683.78,570,divider sidecar (R0=992 ohm),,1,569,0.4,0.0,350.9666,350.0,0.28,0.60462,1722.74,81.64,67.12,46.29,0.9986,1237.59,31.99,0.9979,ok,ok,0.21272163606704061,3.999999999976245e-07,,0.017863072991159724,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace186.csv,682.74,570,divider sidecar (R0=992 ohm),,1,569,0.2,0.0,351.0699,350.39,0.19,0.60672,1728.2,72.14,68.71,21.58,0.9987,1247.33,17.32,0.998,ok,ok,0.18793995050393764,3.999999999976245e-07,,0.0180036577817074,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace187.csv,682.32,570,divider sidecar (R0=992 ohm),,1,569,0.9,0.0,351.0657,350.4,0.19,0.59811,1703.7,77.82,77.06,9.98,0.9986,1289.88,24.58,0.9983,ok,ok,0.1870305969177364,3.999999999976245e-07,,0.018617814130557866,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace188.csv,681.25,570,divider sidecar (R0=992 ohm),,1,569,0.4,0.0,351.0946,350.4,0.2,0.59311,1689.33,73.56,73.41,1.77,0.9986,1211.19,35.33,0.9979,ok,ok,0.21261808749759695,3.999999999976245e-07,,0.01748202181349457,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace189.csv,680.73,570,divider sidecar (R0=992 ohm),,1,569,1.1,0.0,350.7578,349.6,0.33,0.5439,1550.65,86.48,86.38,0.44,0.9987,1204.65,45.06,0.9971,ok,ok,0.18844135213367075,3.999999999976245e-07,,0.01738762504448207,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace190.csv,680.07,570,divider sidecar (R0=992 ohm),,1,569,0.5,0.0,350.7185,349.59,0.32,0.59714,1702.62,79.16,69.78,37.1,0.9987,1235.96,9.41,0.9983,ok,ok,0.205428906041062,3.999999999976245e-07,,0.01783954596769025,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace191.csv,679.17,570,divider sidecar (R0=992 ohm),,1,569,0.2,0.0,351.1641,350.8,0.1,0.60744,1729.78,68.26,67.56,8.67,0.9986,1318.88,15.8,0.9983,ok,ok,0.1654531971743177,3.999999999976245e-07,,0.019036393075720342,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace192.csv,678.46,570,divider sidecar (R0=992 ohm),,1,569,0.2,0.0,350.4183,347.2,0.92,0.56149,1602.34,75.42,72.14,21.56,0.9987,1205.84,28.61,0.9965,ok,ok,0.23716858061541812,3.999999999976245e-07,,0.01740480121499046,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
