filename,rpot_ohm,n_maxima,f0_hz,period_samples,sg_window,m_min,m_max,signal_range,clip_pct,status
trace57.csv,741.14,1422,2849.0,351,17,-0.8386,-0.1284,3.6188,0.08,ok
trace58.csv,742.41,1422,2840.9,352,17,-0.8258,-0.1377,3.626,0.22,ok
trace59.csv,744.74,1422,2849.0,351,17,-0.7961,-0.1602,3.6206,0.14,ok
trace60.csv,747.15,1424,2865.3,349,17,-0.747,-0.1901,3.6105,0.55,ok
trace61.csv,749.68,570,2840.9,880,45,-0.7249,-0.216,3.605,0.07,ok
trace62.csv,751.47,570,2853.9,876,43,-0.7133,-0.2319,3.6071,0.1,ok
trace63.csv,756.1,570,2867.0,872,43,-0.676,-0.2687,3.6086,0.33,ok
trace64.csv,763.87,571,2870.3,871,43,-0.5993,-0.3532,3.5784,0.11,ok
trace65.csv,765.42,571,2853.9,876,43,-0.5554,-0.3913,3.5455,0.51,ok
trace66.csv,767.92,571,2863.7,873,43,-0.4871,-0.4626,3.4752,0.57,ok
trace67.csv,768.27,571,2873.6,870,43,-0.4917,-0.4684,3.4757,0.74,ok
trace68.csv,778.35,574,2883.5,867,43,-0.5289,-0.5157,3.5387,0.13,ok
trace69.csv,805.67,578,2896.9,863,43,-0.6751,-0.6568,3.6823,0.0,ok
trace70.csv,824.73,582,2937.7,851,43,-0.8071,-0.7935,3.7399,0.43,ok
trace71.csv,849.06,592,2972.7,841,43,-1.4882,-1.4302,2.8629,0.28,ok
trace72.csv,863.53,601,3019.3,828,41,-2.1782,-2.1417,1.61,0.48,ok
trace73.csv,873.46,608,3052.5,819,41,-2.7315,-2.7188,0.6978,0.26,ok
trace74.csv,900.62,611,3067.5,815,41,-3.0245,-3.0161,0.3422,0.01,ok
trace75.csv,782.39,0,0.0,0,0,,,0.0,0.0,no periodicity found (not oscillating?)
trace76.csv,,0,0.0,0,0,,,0.0,0.0,no periodicity found (not oscillating?)
trace77.csv,,0,0.0,0,0,,,0.0,0.0,no periodicity found (not oscillating?)
trace78.csv,,0,0.0,0,0,,,0.0,0.0,no periodicity found (not oscillating?)
trace79.csv,,0,0.0,0,0,,,0.0,0.0,no periodicity found (not oscillating?)
trace80.csv,,0,0.0,0,0,,,0.0,0.0,no periodicity found (not oscillating?)
