filename,rpot_ohm,n_maxima,f0_hz,period_samples,sg_window,m_min,m_max,signal_range,clip_pct,status
trace170.csv,695.96,568,2870.2,870,43,-1.2991,0.254,3.5974,0.03,ok
trace171.csv,694.8,568,2866.9,871,43,-1.3119,0.2579,3.5888,0.0,ok
trace172.csv,693.34,568,2860.3,873,43,-1.3298,0.2723,3.5887,0.07,ok
trace173.csv,693.74,567,2890.1,864,43,-1.329,0.2676,3.5906,0.07,ok
trace174.csv,692.29,568,2870.2,870,43,-1.3464,0.2831,3.593,0.01,ok
trace175.csv,691.23,568,2870.2,870,43,-1.3699,0.2992,3.6022,0.02,ok
trace176.csv,690.5,568,2876.8,868,43,-1.3803,0.3047,3.6042,0.11,ok
trace177.csv,689.42,568,2863.6,872,43,-1.391,0.3107,3.6001,0.01,ok
trace178.csv,688.89,569,2883.5,866,43,-1.408,0.3189,3.6003,0.01,ok
trace179.csv,688.0,570,2873.5,869,43,-1.4208,0.3275,3.6065,0.07,ok
trace180.csv,688.25,569,2866.9,871,43,-1.4152,0.3204,3.5988,0.03,ok
trace181.csv,687.05,569,2857.1,874,43,-1.4341,0.3354,3.6103,0.11,ok
trace182.csv,686.7,569,2863.6,872,43,-1.4475,0.3361,3.6075,0.08,ok
trace183.csv,686.19,570,2890.1,864,43,-1.4563,0.3414,3.6046,0.05,ok
trace184.csv,684.4,570,2883.5,866,43,-1.4792,0.3592,3.612,0.06,ok
trace185.csv,683.78,570,2857.1,874,43,-1.4974,0.3654,3.6081,0.09,ok
trace186.csv,682.74,570,2850.5,876,43,-1.5168,0.3741,3.6085,0.03,ok
trace187.csv,682.32,570,2870.2,870,43,-1.5357,0.3806,3.6098,0.04,ok
trace188.csv,681.25,570,2840.8,879,43,-1.5535,0.3895,3.615,0.0,ok
trace189.csv,680.73,570,2866.9,871,43,-1.5518,0.3891,3.6127,0.0,ok
trace190.csv,680.07,570,2866.9,871,43,-1.5771,0.4056,3.6185,0.05,ok
trace191.csv,679.17,570,2873.5,869,43,-1.5774,0.4082,3.6175,0.05,ok
trace192.csv,678.46,570,2893.5,863,43,-1.5925,0.4156,3.6187,0.01,ok
trace193.csv,677.93,570,2870.2,870,43,-1.6068,0.4257,3.6267,0.01,ok
trace194.csv,677.35,570,2863.6,872,43,-1.6217,0.4374,3.6355,0.17,ok
trace195.csv,676.74,570,2883.5,866,43,-1.6286,0.439,3.631,0.1,ok
trace196.csv,675.97,570,2866.9,871,43,-1.6305,0.4449,3.6369,0.07,ok
trace197.csv,675.69,569,2866.9,871,43,-1.6327,0.4556,3.638,0.02,ok
trace198.csv,674.13,569,2863.6,872,43,-1.6294,0.4673,3.6421,0.0,ok
trace199.csv,673.81,567,2847.3,877,43,-1.626,0.4718,3.643,0.01,ok
trace200.csv,673.1,564,2876.8,868,43,-1.6194,0.4898,3.6531,0.08,ok
trace201.csv,671.68,563,2850.5,876,43,-1.6161,0.5031,3.6567,0.01,ok
trace202.csv,670.89,557,2850.5,876,43,-1.6074,0.5187,3.667,0.0,ok
trace203.csv,670.18,550,2844.0,878,43,-1.6016,0.5234,3.669,0.0,ok
trace204.csv,667.98,548,2860.3,873,43,-1.6065,2.609,5.7401,0.02,ok
trace205.csv,667.64,554,2876.8,868,43,-1.6048,2.6077,5.739,0.02,ok
trace206.csv,668.34,554,2924.0,854,43,-1.6038,2.6001,5.7273,0.04,ok
trace207.csv,667.63,550,2847.3,877,43,-1.6031,2.6002,5.729,0.05,ok
trace208.csv,667.63,550,2847.3,877,43,-1.6031,2.6002,5.729,0.05,ok
trace209.csv,667.45,1375,2870.0,349,17,-1.6023,2.6066,5.7375,0.01,ok
trace210.csv,666.96,1377,2886.5,347,17,-1.6051,2.6056,5.7365,0.0,ok
trace211.csv,666.99,1371,2903.3,345,17,-1.5982,2.6025,5.7329,0.06,ok
trace212.csv,666.85,1367,2853.6,351,17,-1.598,2.6032,5.7328,0.05,ok
trace213.csv,666.2,1373,2911.7,344,17,-1.5995,2.6017,5.7305,0.04,ok
trace214.csv,665.82,1369,2903.3,345,17,-1.5995,2.5996,5.7251,0.03,ok
trace215.csv,665.57,1377,2903.3,345,17,-1.5975,2.5942,5.722,0.2,ok
trace216.csv,665.02,1379,2903.3,345,17,-1.5975,2.5871,5.7065,0.09,ok
trace217.csv,663.91,1375,2903.3,345,17,-1.5975,2.5766,5.684,0.04,ok
trace218.csv,663.05,1364,2903.3,345,17,-1.5951,2.5726,5.6712,0.01,ok
trace219.csv,661.8,1367,2920.2,343,17,-1.5882,2.5708,5.6643,0.0,ok
trace220.csv,661.67,1372,2911.7,344,17,-1.5869,2.5673,5.6607,0.0,ok
trace221.csv,660.45,1375,2911.7,344,17,-1.5839,2.5662,5.6541,0.14,ok
trace222.csv,659.37,1369,2903.3,345,17,-1.5777,2.567,5.6452,0.06,ok
trace223.csv,659.28,1367,2903.3,345,17,-1.5727,2.567,5.64,0.05,ok
trace224.csv,657.88,1345,2886.5,347,17,-1.5647,2.5444,5.6067,0.01,ok
trace225.csv,656.28,1327,2853.6,351,17,-1.5613,2.5343,5.5892,0.0,ok
trace226.csv,655.05,1330,2903.3,345,17,-1.5613,2.5338,5.5862,0.17,ok
trace227.csv,653.58,1315,2870.0,349,17,-1.552,2.5293,5.5745,0.11,ok
trace228.csv,652.37,1290,2861.8,350,17,-1.5406,2.523,5.5486,0.04,ok
trace229.csv,650.26,1292,2903.3,345,17,-1.5337,2.5034,5.5237,0.0,ok
trace230.csv,648.01,1278,2911.7,344,17,-1.5245,2.4939,5.4989,0.18,ok
trace231.csv,645.4,1293,2886.5,347,17,-1.5203,2.4812,5.4613,0.03,ok
trace232.csv,642.9,1301,2903.3,345,17,-1.5067,2.4601,5.4203,0.03,ok
trace233.csv,640.14,1294,2920.2,343,17,-1.4935,2.4584,5.4061,0.07,ok
trace234.csv,638.69,1290,2903.3,345,17,-1.4916,2.4458,5.3861,0.12,ok
trace235.csv,637.11,1282,2928.7,342,17,-1.5099,2.4253,5.3503,0.03,ok
trace236.csv,636.17,1290,2928.7,342,17,-1.5141,2.4257,5.3437,0.01,ok
trace237.csv,632.56,1295,2937.3,341,17,-1.5252,2.4081,5.3166,0.12,ok
trace238.csv,627.73,1279,2963.4,338,17,-1.5252,2.3861,5.2614,0.0,ok
trace239.csv,626.45,1286,2981.0,336,17,-1.5429,2.3805,5.2471,0.08,ok
trace240.csv,623.95,1278,2972.2,337,17,-1.5607,2.3534,5.1989,0.01,ok
trace241.csv,621.51,1289,2954.6,339,17,-1.5607,2.3455,5.1803,0.16,ok
trace242.csv,616.85,1289,2998.9,334,17,-1.5613,2.3137,5.1132,0.2,ok
trace243.csv,613.82,1296,2981.0,336,17,-1.5645,2.3021,5.0854,0.04,ok
trace244.csv,610.32,1287,2981.0,336,17,-1.5648,2.2792,5.0429,0.14,ok
trace245.csv,606.81,1288,2998.9,334,17,-1.5696,2.2569,4.992,0.02,ok
trace246.csv,602.83,1291,3016.9,332,17,-1.5732,2.2399,4.9628,0.11,ok
trace247.csv,601.28,1296,3016.9,332,17,-1.5836,2.2399,4.9399,0.05,ok
trace248.csv,597.84,1289,3035.2,330,17,-1.5853,2.2065,4.8971,0.09,ok
trace249.csv,594.41,1302,3044.5,329,17,-1.5786,2.1986,4.8608,0.06,ok
trace250.csv,591.32,1308,3063.1,327,17,-1.5731,2.1805,4.819,0.04,ok
trace251.csv,589.56,1305,3026.1,331,17,-1.5736,2.1721,4.8033,0.01,ok
trace252.csv,587.25,1303,3044.5,329,17,-1.5613,2.1636,4.7818,0.09,ok
trace253.csv,584.11,1303,3091.4,324,17,-1.5645,2.1363,4.7289,0.01,ok
trace254.csv,582.06,1310,3053.7,328,17,-1.5613,2.1328,4.7149,0.18,ok
trace255.csv,579.6,1305,3053.7,328,17,-1.5613,2.1157,4.6919,0.07,ok
trace256.csv,577.1,1305,3035.2,330,17,-1.555,2.0984,4.6549,0.01,ok
trace257.csv,575.47,1300,3053.7,328,17,-1.5408,2.0953,4.6416,0.12,ok
