sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status
sweep forward,trace71.csv,713.91,564,divider fit (R0=990 ohm),,0,0,,,354.9883,358.01,-0.85,,,,,,,546.93,12.61,0.9632,ok,map spans only 24 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace72.csv,713.44,567,divider fit (R0=990 ohm),,0,0,,,352.7463,353.6,-0.24,,,,,,,53.09,2.12,0.86,ok,map spans only 25 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace73.csv,710.24,568,divider fit (R0=990 ohm),,0,0,,,352.4875,351.2,0.37,,,,,,,221.3,6.45,0.9529,ok,map spans only 26 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace74.csv,708.42,567,divider fit (R0=990 ohm),,0,0,,,352.6728,351.205,0.42,,,,,,,501.33,12.95,0.9893,ok,map spans only 27 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace75.csv,706.35,565,divider fit (R0=990 ohm),,0,0,,,354.0135,353.995,0.01,,,,,,,695.6,14.89,0.9923,ok,map spans only 27 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace76.csv,704.52,564,divider fit (R0=990 ohm),,0,0,,,354.2153,352.81,0.4,,,,,,,717.6,18.1,0.9918,ok,map spans only 28 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace77.csv,700.95,564,divider fit (R0=990 ohm),,0,0,,,354.4675,353.21,0.35,,,,,,,761.5,17.93,0.9911,ok,map spans only 30 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace78.csv,695.97,563,divider fit (R0=990 ohm),,1,562,0.7,0.0,354.8825,354.6,0.08,0.5683,1601.37,83.8,80.41,23.4,0.9986,908.75,19.65,0.9943,ok,ok
sweep forward,trace79.csv,690.03,564,divider fit (R0=990 ohm),,1,563,0.0,0.0,354.2736,352.4,0.53,0.56472,1594.03,74.35,73.4,11.42,0.9985,941.48,20.58,0.9961,ok,ok
sweep forward,trace80.csv,680.24,565,divider fit (R0=990 ohm),,1,564,0.0,0.0,353.8575,351.5975,0.64,0.64279,1816.52,76.89,62.35,44.8,0.9982,1142.45,17.28,0.9983,ok,ok
sweep forward,trace81.csv,674.29,567,divider fit (R0=990 ohm),,1,566,0.5,0.0,352.8148,350.4,0.68,0.57887,1640.73,74.65,74.43,3.6,0.9984,1205.58,21.76,0.9988,ok,ok
sweep forward,trace82.csv,671.04,566,divider fit (R0=990 ohm),,1,565,0.0,0.0,353.0046,350.41,0.74,0.59416,1683.14,82.53,66.34,48.84,0.9985,1219.85,56.44,0.998,ok,ok
sweep forward,trace83.csv,668.74,566,divider fit (R0=990 ohm),,2,537,0.4,5.0,353.1044,334.0,5.41,0.01647,46.65,128.05,108.02,68.77,0.9997,566.0,198.02,0.9943,ok,ok
sweep forward,trace84.csv,668.17,565,divider fit (R0=990 ohm),,1,564,0.2,0.0,353.7447,347.2,1.85,0.52479,1483.53,69.17,68.36,9.08,0.9987,1131.33,14.18,0.9986,ok,ok
sweep forward,trace85.csv,667.06,564,divider fit (R0=990 ohm),,1,563,0.0,0.0,354.6344,351.21,0.97,0.57724,1627.7,65.93,63.18,17.99,0.9983,1340.46,24.16,0.9987,ok,ok
sweep forward,trace86.csv,664.54,557,divider fit (R0=990 ohm),,1,556,0.2,0.0,359.2748,350.6,2.41,0.59714,1662.08,124.15,68.01,103.6,0.9975,1486.74,27.43,0.999,ok,ok
sweep forward,trace87.csv,664.28,556,divider fit (R0=990 ohm),,1,555,1.1,0.0,359.4688,354.41,1.41,0.61008,1697.16,100.6,78.59,62.37,0.9974,1535.77,20.63,0.999,ok,ok
sweep forward,trace88.csv,660.48,1379,divider fit (R0=990 ohm),,1,1367,0.1,0.8,362.3142,352.01,2.84,0.68485,1890.22,242.72,46.05,238.23,0.9687,1534.88,29.39,0.9988,ok,ok
sweep forward,trace89.csv,660.56,1379,divider fit (R0=990 ohm),,2,1374,0.2,0.3,362.6343,353.01,2.65,0.80894,2230.75,122.04,65.23,102.83,0.8293,1662.96,29.32,0.9985,ok,ok
sweep forward,trace90.csv,659.94,1374,divider fit (R0=990 ohm),,2,1369,0.9,0.3,363.7706,352.0,3.24,0.86164,2368.64,86.38,77.6,36.74,0.8547,1727.79,7.97,0.9989,ok,ok
sweep forward,trace91.csv,658.56,1365,divider fit (R0=990 ohm),,2,1359,0.4,0.4,366.3431,349.0,4.73,0.91807,2506.05,99.16,86.75,46.59,0.8505,1769.11,36.29,0.9991,ok,ok
sweep forward,trace92.csv,656.6,1369,divider fit (R0=990 ohm),,2,1365,0.7,0.2,365.0556,350.0,4.12,0.97827,2679.77,92.55,85.49,33.28,0.8615,1814.42,26.75,0.999,ok,ok
sweep forward,trace93.csv,653.77,1340,divider fit (R0=990 ohm),,2,1339,0.7,0.0,373.1441,352.0,5.67,1.15692,3100.46,86.62,84.53,7.52,0.8423,1908.62,19.29,0.9991,ok,ok
sweep forward,trace94.csv,650.58,1320,divider fit (R0=990 ohm),,2,1319,1.4,0.0,378.7036,353.0,6.79,1.21885,3218.48,95.12,89.79,24.18,0.8541,1916.6,43.44,0.9991,ok,ok
sweep forward,trace95.csv,642.54,1273,divider fit (R0=990 ohm),,2,1272,1.3,0.0,392.5071,348.995,11.09,1.17226,2986.6,110.46,99.42,42.75,0.9095,1751.99,38.88,0.9991,ok,ok
sweep forward,trace96.csv,632.28,1275,divider fit (R0=990 ohm),,2,1268,2.1,0.5,392.0243,345.0,12.0,1.04045,2654.04,164.27,102.12,127.14,0.9319,1552.15,28.46,0.9987,ok,ok
sweep forward,trace97.csv,616.48,1278,divider fit (R0=990 ohm),,2,1277,0.1,0.0,391.1308,341.0,12.82,1.04907,2682.15,142.55,90.86,107.93,0.9236,1508.1,96.69,0.9984,ok,ok
sweep forward,trace98.csv,600.88,1284,divider fit (R0=990 ohm),,2,1279,0.3,0.3,389.4505,336.0,13.72,1.03016,2645.18,109.13,90.03,58.25,0.9203,1514.7,42.13,0.9977,ok,ok
sweep forward,trace99.csv,584.2,1302,divider fit (R0=990 ohm),,2,1300,0.9,0.1,384.1353,333.0,13.31,0.84686,2204.59,147.84,95.54,111.59,0.9299,1397.91,14.92,0.9976,ok,ok
sweep forward,trace100.csv,568.04,1312,divider fit (R0=990 ohm),,2,1304,1.8,0.5,381.0153,330.0,13.39,0.79688,2091.47,167.33,87.64,141.64,0.9375,1210.69,66.6,0.9964,ok,ok
sweep forward,trace101.csv,546.49,1284,divider fit (R0=990 ohm),,2,1277,2.9,0.5,389.4965,334.0,14.25,0.91229,2342.24,269.99,88.06,254.55,0.9459,1521.45,48.54,0.9974,ok,ok
sweep forward,trace102.csv,523.41,1297,divider fit (R0=990 ohm),,2,1293,2.8,0.2,385.4012,332.0,13.86,0.82002,2127.7,324.78,88.77,311.91,0.9371,1483.14,40.69,0.9972,ok,ok
