rpot_ohm,initial_v1_V,max_v
302.0,1,6.920157333365684
302.0,1,6.920162814361864
302.0,1,6.920165183203936
302.0,1,6.920161430747517
302.0,1,6.9201470857912515
302.0,1,6.920146914784266
302.0,1,6.92015540981053
302.0,1,6.920161444431468
302.0,1,6.920157224059618
302.0,1,6.920164251054574
302.0,1,6.920165897620903
302.0,1,6.920164288597653
302.0,1,6.920151078159889
302.0,1,6.920147054894875
302.0,1,6.920153847903158
302.0,1,6.92016278838374
302.0,1,6.92015644169173
302.0,1,6.920163155267922
302.0,1,6.920164433711207
302.0,1,6.920165483358583
302.0,1,6.920154310221746
302.0,1,6.92014575373084
302.0,1,6.920150932518779
302.0,1,6.92016138734161
302.0,1,6.920155446536893
302.0,1,6.920161042371233
302.0,1,6.920162135907871
302.0,1,6.920164561878096
302.0,1,6.920156537506489
302.0,1,6.920143977520231
302.0,1,6.9201473441135954
302.0,1,6.920158245247154
302.0,1,6.920157086192846
302.0,1,6.920158319605
302.0,1,6.920161458093132
302.0,1,6.9201644082272695
302.0,1,6.920159035889793
302.0,1,6.920144344979719
302.0,1,6.920146161712636
302.0,1,6.9201562479466565
302.0,1,6.9201592690474225
302.0,1,6.9201573075559
302.0,1,6.920163091943858
302.0,1,6.920165351427092
302.0,1,6.920162001240282
302.0,1,6.9201478702150965
302.0,1,6.9201470844777795
302.0,1,6.920155188317308
302.0,1,6.92016198967856
302.0,1,6.920157200840626
302.0,1,6.920164265896882
302.0,1,6.920165780618262
302.0,1,6.920164744576193
302.0,1,6.9201518237671396
302.0,1,6.920146873304901
302.0,1,6.920153345314987
302.0,1,6.920162709638143
302.0,1,6.920156126546615
302.0,1,6.920162773070147
302.0,1,6.92016399137223
302.0,1,6.920165305796286
302.0,1,6.920154762134434
302.0,1,6.9201454098989
302.0,1,6.920150216682498
302.0,1,6.920160757928444
302.0,1,6.920155777967798
302.0,1,6.920160546677759
302.0,1,6.920161652205672
302.0,1,6.92016436750026
302.0,1,6.9201569580148545
302.0,1,6.920143690955405
302.0,1,6.9201466777824745
302.0,1,6.920157651006703
302.0,1,6.920157408607724
302.0,1,6.920157923329629
302.0,1,6.920161851891922
302.0,1,6.920164625900425
303.0,1,6.91965056928726
303.0,1,6.919635460617786
303.0,1,6.919637068348554
303.0,1,6.919649491448465
303.0,1,6.9196415104993
303.0,1,6.919647522227565
303.0,1,6.919653121979309
303.0,1,6.919648917623072
303.0,1,6.9196337378602415
303.0,1,6.919638908856256
303.0,1,6.919650509848679
303.0,1,6.919639942890887
303.0,1,6.919648034033459
303.0,1,6.919653207457442
303.0,1,6.919646482736465
303.0,1,6.919634479334654
303.0,1,6.91964185904759
303.0,1,6.9196504282168565
303.0,1,6.919641188682241
303.0,1,6.919647281582322
303.0,1,6.919652705769288
303.0,1,6.919643806022854
303.0,1,6.91963582337048
303.0,1,6.919644376113234
303.0,1,6.919648691160471
303.0,1,6.919642123714977
303.0,1,6.919647302524845
303.0,1,6.919652579951269
303.0,1,6.919641303447467
303.0,1,6.9196368328013005
303.0,1,6.919646257461023
303.0,1,6.919646561393854
303.0,1,6.919643541858136
303.0,1,6.919649207186538
303.0,1,6.91965215568838
303.0,1,6.919638678176531
303.0,1,6.91963707583854
303.0,1,6.919647787418659
303.0,1,6.919644267141509
303.0,1,6.919645333018699
303.0,1,6.919651275586029
303.0,1,6.919650852192281
303.0,1,6.919635781945369
303.0,1,6.919636692432845
303.0,1,6.919649033037584
303.0,1,6.919641878079713
303.0,1,6.9196471911514275
303.0,1,6.919652905235948
303.0,1,6.9196492996740435
303.0,1,6.919634104074959
303.0,1,6.919638557740507
303.0,1,6.919650482427718
303.0,1,6.919639679880252
303.0,1,6.9196481780016725
303.0,1,6.919653305295835
303.0,1,6.919647024140067
303.0,1,6.919634212528012
303.0,1,6.919641222089114
303.0,1,6.919650713569759
303.0,1,6.919641064312005
303.0,1,6.919647491413935
303.0,1,6.919652831714477
303.0,1,6.919644354567505
303.0,1,6.919635558822043
303.0,1,6.919643895168089
303.0,1,6.9196490516127245
303.0,1,6.919641891113561
303.0,1,6.919646945333613
303.0,1,6.919652438784605
303.0,1,6.919641723685142
303.0,1,6.919636615444607
303.0,1,6.919645875467525
303.0,1,6.919646985553712
303.0,1,6.919643110334521
303.0,1,6.919648760531945
303.0,1,6.919652396675913
303.0,1,6.919639259306353
303.0,1,6.919637200031959
303.0,1,6.919647563687558
303.0,1,6.919644751320691
303.0,1,6.919644946447377
303.0,1,6.919650856265112
303.0,1,6.9196511045798506
303.0,1,6.9196362888222955
303.0,1,6.919636479637524
303.0,1,6.919648651290584
303.0,1,6.91964228328425
303.0,1,6.919646876213666
303.0,1,6.919652684769212
303.0,1,6.919649681325391
303.0,1,6.919634470621638
303.0,1,6.9196382053387495
303.0,1,6.919650454782089
303.0,1,6.919640184325626
303.0,1,6.91964818873079
303.0,1,6.919653340888928
303.0,1,6.919647534816357
303.0,1,6.919633974255373
303.0,1,6.91964059158755
303.0,1,6.9196508871572435
303.0,1,6.9196408888840155
303.0,1,6.91964767592868
303.0,1,6.919652948426798
304.0,1,6.919136324267644
304.0,1,6.919126784132741
304.0,1,6.919137304972471
304.0,1,6.919136148699416
304.0,1,6.919122968123885
304.0,1,6.919133211602609
304.0,1,6.91913416047685
304.0,1,6.919128686086971
304.0,1,6.919139181923034
304.0,1,6.9191345200808545
304.0,1,6.919124846534741
304.0,1,6.919135688554006
304.0,1,6.919132266196746
304.0,1,6.919130658362182
304.0,1,6.919140161677543
304.0,1,6.919132522317394
304.0,1,6.919126050709701
304.0,1,6.919137699808469
304.0,1,6.9191302646599
304.0,1,6.919131768172378
304.0,1,6.919140555645271
304.0,1,6.919130302993978
304.0,1,6.919126890613177
304.0,1,6.919139529159525
304.0,1,6.91912821915707
304.0,1,6.919131683841044
304.0,1,6.91914039208524
304.0,1,6.9191278174120585
304.0,1,6.919127427437996
304.0,1,6.919139717698619
304.0,1,6.9191253589587625
304.0,1,6.91913348095969
304.0,1,6.919139375845476
304.0,1,6.919125278601053
304.0,1,6.919128959136576
304.0,1,6.919138635978786
304.0,1,6.919125912743151
304.0,1,6.919135433785203
304.0,1,6.91913797942074
304.0,1,6.919123675997251
304.0,1,6.9191309531795415
304.0,1,6.919136556385138
304.0,1,6.919126722571605
304.0,1,6.919137134815863
304.0,1,6.919136338211236
304.0,1,6.919122813123024
304.0,1,6.919132925637224
304.0,1,6.919134354586057
304.0,1,6.919128437823465
304.0,1,6.91913900255201
304.0,1,6.919134699378656
304.0,1,6.919124675615423
304.0,1,6.919135454225705
304.0,1,6.919132477979827
304.0,1,6.9191304830353415
304.0,1,6.91914009306492
304.0,1,6.919132746266964
304.0,1,6.919125931489844
304.0,1,6.91913749132236
304.0,1,6.919130475461357
304.0,1,6.919131651126632
304.0,1,6.919140514087357
304.0,1,6.919130536890356
304.0,1,6.919126852315575
304.0,1,6.919139359268836
304.0,1,6.91912844683244
304.0,1,6.919131721514222
304.0,1,6.91914042284227
304.0,1,6.919128087372896
304.0,1,6.919127268914147
304.0,1,6.919139715814119
304.0,1,6.919125670346643
304.0,1,6.9191332796479585
304.0,1,6.919139524866421
304.0,1,6.919125455123097
304.0,1,6.9191287538663415
304.0,1,6.919138857493537
304.0,1,6.919125794670486
304.0,1,6.91913524002458
304.0,1,6.919138134058062
304.0,1,6.919123848569678
304.0,1,6.919130742350411
304.0,1,6.919136777267028
304.0,1,6.9191266929164
304.0,1,6.919136980102372
304.0,1,6.919136533925979
304.0,1,6.919122696682741
304.0,1,6.919132658011906
304.0,1,6.919134556952432
304.0,1,6.919128215307526
304.0,1,6.919138799086769
304.0,1,6.919134866938118
304.0,1,6.919124473580062
304.0,1,6.919135205844493
304.0,1,6.919132682017636
304.0,1,6.919130303151509
304.0,1,6.919140022275507
304.0,1,6.919132968221696
304.0,1,6.919125812193178
304.0,1,6.919137283385654
304.0,1,6.919130685335954
304.0,1,6.919131534475072
304.0,1,6.9191404726632255
305.0,1,6.9186230393888595
305.0,1,6.918613477215039
305.0,1,6.918627375424365
305.0,1,6.918615362420989
305.0,1,6.918620129957884
305.0,1,6.91862437136174
305.0,1,6.918611703728675
305.0,1,6.918625052146884
305.0,1,6.918617193789397
305.0,1,6.918616701305316
305.0,1,6.918625066568443
305.0,1,6.918611895559578
305.0,1,6.918623542979685
305.0,1,6.918619435761563
305.0,1,6.918615183941338
305.0,1,6.918626627790347
305.0,1,6.918613846438351
305.0,1,6.918622179780794
305.0,1,6.918621832529846
305.0,1,6.918614189316833
305.0,1,6.918627432602246
305.0,1,6.9186152981721625
305.0,1,6.91862010001448
305.0,1,6.918623913105467
305.0,1,6.918612816394069
305.0,1,6.9186268886878315
305.0,1,6.9186174759243055
305.0,1,6.918618344405637
305.0,1,6.91862614375655
305.0,1,6.918610994872973
305.0,1,6.918625990630252
305.0,1,6.918619496328816
305.0,1,6.918616415676957
305.0,1,6.918628254293329
305.0,1,6.918610662703799
305.0,1,6.918624859769052
305.0,1,6.918621470493532
305.0,1,6.918615086927212
305.0,1,6.918628828863123
305.0,1,6.91861321096892
305.0,1,6.918622695550252
305.0,1,6.918622954902771
305.0,1,6.918613571283201
305.0,1,6.918627511052231
305.0,1,6.9186152467961515
305.0,1,6.918620278851497
305.0,1,6.918624291222199
305.0,1,6.918611808463923
305.0,1,6.918625191287866
305.0,1,6.918617082746303
305.0,1,6.918616938447948
305.0,1,6.918625042424394
305.0,1,6.918611805436103
305.0,1,6.918623621597965
305.0,1,6.91861929108199
305.0,1,6.91861524278041
305.0,1,6.918626516648946
305.0,1,6.918613735456203
305.0,1,6.918622293691129
305.0,1,6.918621702207476
305.0,1,6.918614256416184
305.0,1,6.918627458084521
305.0,1,6.91861517951965
305.0,1,6.918620211340001
305.0,1,6.9186237804430775
305.0,1,6.918612916648656
305.0,1,6.918626929632752
305.0,1,6.9186173482211535
305.0,1,6.918618452170867
305.0,1,6.918626013910462
305.0,1,6.918611107522664
305.0,1,6.91862607007175
305.0,1,6.91861938492433
305.0,1,6.918616575196503
305.0,1,6.91862814811647
305.0,1,6.918610687916323
305.0,1,6.918624953092359
305.0,1,6.918621364318342
305.0,1,6.918615169909667
305.0,1,6.91862882746495
305.0,1,6.918613075263444
305.0,1,6.918622835305086
305.0,1,6.918622871515404
305.0,1,6.918613663944014
305.0,1,6.9186276447041575
305.0,1,6.918615132821873
305.0,1,6.9186204255984975
305.0,1,6.9186242123189405
305.0,1,6.918611932496532
305.0,1,6.918625337948686
305.0,1,6.918616978258556
305.0,1,6.918617173681976
305.0,1,6.91862501971948
305.0,1,6.918611717348983
305.0,1,6.918623699079848
305.0,1,6.918619149011274
305.0,1,6.9186153006505124
305.0,1,6.918626407454225
305.0,1,6.918613626405712
305.0,1,6.9186224056349035
305.0,1,6.91862157414315
305.0,1,6.918614322355263
305.0,1,6.918627483126257
306.0,1,6.918108994012032
306.0,1,6.918100257234889
306.0,1,6.918110582048484
306.0,1,6.9181002076431195
306.0,1,6.9181166586908995
306.0,1,6.918100309935043
306.0,1,6.918112127938531
306.0,1,6.91810622721378
306.0,1,6.918109284352987
306.0,1,6.918110959391545
306.0,1,6.91809809299796
306.0,1,6.918111744873771
306.0,1,6.91809967765865
306.0,1,6.918115583047343
306.0,1,6.9181019302377695
306.0,1,6.9181097721860185
306.0,1,6.918107382508172
306.0,1,6.918107229278904
306.0,1,6.918112813787614
306.0,1,6.918096950468274
306.0,1,6.918113352342896
306.0,1,6.918101725088173
306.0,1,6.918115081194911
306.0,1,6.918104235329065
306.0,1,6.918107641145448
306.0,1,6.9181086852113785
306.0,1,6.9181044529872695
306.0,1,6.918114367187798
306.0,1,6.918095540275542
306.0,1,6.918113915300316
306.0,1,6.918103152352669
306.0,1,6.9181138875947985
306.0,1,6.918106501533479
306.0,1,6.918105207950696
306.0,1,6.918109855413613
306.0,1,6.91810259279526
306.0,1,6.91811630137953
306.0,1,6.918096437228111
306.0,1,6.91811356624412
306.0,1,6.918103943453592
306.0,1,6.918111664174388
306.0,1,6.918108336599708
306.0,1,6.918101400530894
306.0,1,6.91811038945487
306.0,1,6.918100764310072
306.0,1,6.918116735495386
306.0,1,6.918099508962177
306.0,1,6.918112633414106
306.0,1,6.918105762756738
306.0,1,6.918109880415556
306.0,1,6.918110357239382
306.0,1,6.918098441255003
306.0,1,6.918111241279399
306.0,1,6.918099203808337
306.0,1,6.918115816917365
306.0,1,6.918101391874518
306.0,1,6.9181105184898355
306.0,1,6.918107016751969
306.0,1,6.918107880162415
306.0,1,6.918112222804657
306.0,1,6.918097310773342
306.0,1,6.918112842318329
306.0,1,6.91810107609238
306.0,1,6.918115240015441
306.0,1,6.918103428618307
306.0,1,6.918108281893131
306.0,1,6.918108255296735
306.0,1,6.918105492667056
306.0,1,6.918113967003426
306.0,1,6.918096051261095
306.0,1,6.918114067429087
306.0,1,6.91810293771586
306.0,1,6.918114402813588
306.0,1,6.918105841976442
306.0,1,6.918106180030492
306.0,1,6.9181095871994716
