sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status
sweep back,trace44.csv,763.46,562,divider fit (R0=990 ohm),,0,0,,,355.8203,355.6,0.06,,,,,,,-0.64,0.91,0.001,ok,map spans only 5 quantisation steps of 88 mV (under --min-steps)
sweep back,trace45.csv,769.55,562,divider fit (R0=990 ohm),,0,0,,,355.5244,355.61,-0.02,,,,,,,-7.48,1.64,0.1415,ok,map spans only 3 quantisation steps of 88 mV (under --min-steps)
sweep back,trace46.csv,774.31,563,divider fit (R0=990 ohm),,0,0,,,355.3751,355.6,-0.06,,,,,,,-37.39,1.48,0.5294,ok,map spans only 1 quantisation steps of 88 mV (under --min-steps)
sweep back,trace47.csv,777.84,563,divider fit (R0=990 ohm),,0,0,,,355.0406,354.81,0.06,,,,,,,-19.61,1.99,0.3896,ok,map spread 0.044 V below --min-spread
sweep back,trace48.csv,782.4,564,divider fit (R0=990 ohm),,0,0,,,354.4902,354.4,0.03,,,,,,,-4.44,1.48,0.0948,ok,map spread 0.028 V below --min-spread
sweep back,trace49.csv,786.26,564,divider fit (R0=990 ohm),,0,0,,,354.1251,354.39,-0.07,,,,,,,-7.32,0.82,0.2341,ok,map spread 0.031 V below --min-spread
sweep back,trace50.csv,789.4,566,divider fit (R0=990 ohm),,0,0,,,353.5972,353.6,-0.0,,,,,,,-5.42,1.17,0.1187,ok,map spread 0.046 V below --min-spread
sweep back,trace51.csv,794.99,567,divider fit (R0=990 ohm),,0,0,,,352.8035,352.8,0.0,,,,,,,-0.86,0.88,0.0029,ok,map spread 0.048 V below --min-spread
sweep back,trace52.csv,801.28,568,divider fit (R0=990 ohm),,0,0,,,352.1637,352.39,-0.06,,,,,,,-2.01,1.22,0.0228,ok,map spread 0.033 V below --min-spread
sweep back,trace53.csv,806.57,569,divider fit (R0=990 ohm),,0,0,,,351.4436,351.6,-0.04,,,,,,,-2.67,1.31,0.0349,ok,map spread 0.051 V below --min-spread
sweep back,trace54.csv,819.51,571,divider fit (R0=990 ohm),,0,0,,,350.0077,349.99,0.01,,,,,,,-0.15,0.92,0.0001,ok,map spread 0.050 V below --min-spread
sweep back,trace55.csv,828.16,573,divider fit (R0=990 ohm),,0,0,,,348.9643,348.8,0.05,,,,,,,1.18,2.75,0.0053,ok,map spread 0.027 V below --min-spread
sweep back,trace56.csv,842.63,576,divider fit (R0=990 ohm),,0,0,,,346.8278,346.4,0.12,,,,,,,1.28,1.07,0.0082,ok,map spread 0.039 V below --min-spread
sweep back,trace57.csv,854.51,586,divider fit (R0=990 ohm),,0,0,,,341.2622,341.59,-0.1,,,,,,,5.86,1.64,0.1455,ok,map spread 0.076 V below --min-spread
sweep back,trace58.csv,855.84,591,divider fit (R0=990 ohm),,0,0,,,338.541,338.41,0.04,,,,,,,3.72,0.87,0.0379,ok,map spread 0.039 V below --min-spread
sweep back,trace59.csv,843.26,595,divider fit (R0=990 ohm),,0,0,,,336.0741,336.4,-0.1,,,,,,,-1.97,1.19,0.0176,ok,map spread 0.025 V below --min-spread
