rpot_ohm,initial_v1_V,max_v
304.0,1,7.011333039133063
304.0,1,7.011335502534581
304.0,1,7.011342353028598
304.0,1,7.011344634710867
304.0,1,7.011330608627801
304.0,1,7.011337653309519
304.0,1,7.011320501975682
304.0,1,7.011324201113738
304.0,1,7.0113235623208165
304.0,1,7.011334742343834
304.0,1,7.011337699256733
304.0,1,7.011342155251891
304.0,1,7.011344347035207
304.0,1,7.011327931427558
304.0,1,7.011336209833807
305.0,1,7.010837486295641
305.0,1,7.010838286896419
305.0,1,7.010830844432291
305.0,1,7.010834196027457
305.0,1,7.010813823113696
305.0,1,7.010829596122122
305.0,1,7.01082980242202
305.0,1,7.010839649191237
305.0,1,7.010839329203136
305.0,1,7.010818465070463
305.0,1,7.010825870898156
305.0,1,7.010821446292391
305.0,1,7.010836778532716
305.0,1,7.010837641530912
305.0,1,7.010831987863712
305.0,1,7.010834827969033
305.0,1,7.010814394623939
305.0,1,7.010829210938145
305.0,1,7.01082906105653
305.0,1,7.0108400141516505
305.0,1,7.010839599968305
305.0,1,7.010818989682055
305.0,1,7.010826872400374
305.0,1,7.010820798701722
305.0,1,7.0108360329426045
305.0,1,7.010836970841631
305.0,1,7.010833154928186
305.0,1,7.01083547324692
305.0,1,7.010814978922472
305.0,1,7.0108286310906145
305.0,1,7.0108282160455975
305.0,1,7.010840343942584
305.0,1,7.0108398634684574
305.0,1,7.010820623953932
305.0,1,7.010827890990495
305.0,1,7.010819598597868
305.0,1,7.010835026686789
305.0,1,7.010836173917232
305.0,1,7.010834272172534
305.0,1,7.010836095428421
305.0,1,7.010815554069696
305.0,1,7.010827918470238
305.0,1,7.010827305764175
305.0,1,7.010840645352035
305.0,1,7.010840115466649
305.0,1,7.010822258131198
305.0,1,7.0108289103884545
305.0,1,7.010818372764464
305.0,1,7.010834007631944
305.0,1,7.010835369932291
305.0,1,7.010835390617596
305.0,1,7.010836718456839
305.0,1,7.01081613046766
305.0,1,7.010827203454308
305.0,1,7.01082639261119
305.0,1,7.010840692280854
305.0,1,7.010840246333574
305.0,1,7.010823832479039
