Time(s),CH1(V),CH2(V)
4.539204e-02,3.087437e+00,3.602010e+00
4.539484e-02,3.087437e+00,3.602010e+00
4.539764e-02,3.087437e+00,3.602010e+00
4.540044e-02,3.087437e+00,3.602010e+00
4.540324e-02,3.087437e+00,3.602010e+00
4.540604e-02,3.087437e+00,3.602010e+00
4.540884e-02,3.087437e+00,3.602010e+00
4.541164e-02,3.087437e+00,3.602010e+00
4.541444e-02,3.087437e+00,3.602010e+00
4.541724e-02,3.087437e+00,3.602010e+00
4.542004e-02,3.087437e+00,3.602010e+00
4.542284e-02,3.087437e+00,3.602010e+00
4.542564e-02,3.087437e+00,3.602010e+00
4.542844e-02,3.087437e+00,3.602010e+00
4.543124e-02,3.087437e+00,3.602010e+00
4.543404e-02,3.087437e+00,3.602010e+00
4.543684e-02,2.958794e+00,3.602010e+00
4.543964e-02,3.087437e+00,3.602010e+00
4.544244e-02,3.087437e+00,3.473367e+00
4.544524e-02,3.087437e+00,3.473367e+00
4.544804e-02,3.087437e+00,3.602010e+00
4.545084e-02,3.087437e+00,3.473367e+00
4.545364e-02,3.087437e+00,3.602010e+00
4.545644e-02,3.087437e+00,3.602010e+00
4.545924e-02,2.958794e+00,3.473367e+00
4.546204e-02,3.087437e+00,3.602010e+00
4.546484e-02,3.087437e+00,3.602010e+00
4.546764e-02,3.087437e+00,3.602010e+00
4.547044e-02,3.087437e+00,3.473367e+00
4.547324e-02,3.087437e+00,3.602010e+00
4.547604e-02,3.087437e+00,3.473367e+00
4.547884e-02,3.087437e+00,3.602010e+00
4.548164e-02,3.087437e+00,3.602010e+00
4.548444e-02,3.087437e+00,3.602010e+00
4.548724e-02,3.087437e+00,3.473367e+00
4.549004e-02,3.087437e+00,3.602010e+00
4.549284e-02,3.087437e+00,3.473367e+00
4.549564e-02,3.087437e+00,3.602010e+00
4.549844e-02,3.087437e+00,3.602010e+00
4.550124e-02,2.958794e+00,3.473367e+00
4.550404e-02,3.087437e+00,3.473367e+00
4.550684e-02,2.958794e+00,3.602010e+00
4.550964e-02,2.958794e+00,3.602010e+00
4.551244e-02,3.087437e+00,3.473367e+00
4.551524e-02,3.087437e+00,3.473367e+00
4.551804e-02,3.087437e+00,3.473367e+00
4.552084e-02,3.087437e+00,3.602010e+00
4.552364e-02,3.087437e+00,3.602010e+00
4.552644e-02,2.958794e+00,3.473367e+00
4.552924e-02,2.958794e+00,3.473367e+00
4.553204e-02,2.958794e+00,3.602010e+00
4.553484e-02,3.087437e+00,3.473367e+00
4.553764e-02,3.087437e+00,3.473367e+00
4.554044e-02,3.087437e+00,3.602010e+00
4.554324e-02,2.958794e+00,3.473367e+00
4.554604e-02,3.087437e+00,3.473367e+00
4.554884e-02,3.087437e+00,3.602010e+00
4.555164e-02,2.958794e+00,3.473367e+00
4.555444e-02,2.958794e+00,3.602010e+00
4.555724e-02,2.958794e+00,3.473367e+00
4.556004e-02,3.087437e+00,3.602010e+00
4.556284e-02,2.958794e+00,3.602010e+00
4.556564e-02,2.958794e+00,3.473367e+00
4.556844e-02,3.087437e+00,3.602010e+00
4.557124e-02,2.958794e+00,3.473367e+00
4.557404e-02,2.958794e+00,3.602010e+00
4.557684e-02,2.958794e+00,3.473367e+00
4.557964e-02,2.958794e+00,3.473367e+00
4.558244e-02,3.087437e+00,3.473367e+00
4.558524e-02,2.958794e+00,3.602010e+00
4.558804e-02,2.958794e+00,3.473367e+00
4.559084e-02,2.958794e+00,3.473367e+00
4.559364e-02,2.958794e+00,3.473367e+00
4.559644e-02,2.958794e+00,3.473367e+00
4.559924e-02,2.958794e+00,3.473367e+00
4.560204e-02,2.958794e+00,3.473367e+00
4.560484e-02,3.087437e+00,3.473367e+00
4.560764e-02,2.958794e+00,3.473367e+00
4.561044e-02,2.958794e+00,3.473367e+00
4.561324e-02,2.958794e+00,3.473367e+00
4.561604e-02,2.958794e+00,3.473367e+00
4.561884e-02,2.958794e+00,3.473367e+00
4.562164e-02,2.958794e+00,3.473367e+00
