sweep,filename,n_samples,duration_s,status,reason,rpot_ohm,residual_pct,divider_difference_ohm,maxima,peak_count_matches,max_peak_difference_V,clip_pct
forward,trace64.csv,500000,0.19999963999999998,ok,,779.925008413906,0.578394179523181,-0.004991586093979095,571.0,True,4.993949888620897e-07,0.1606
forward,trace65.csv,500000,0.19999963999999998,ok,,781.9356927916965,0.5756979374869214,-0.00430720830354403,572.0,True,4.980714876090531e-07,0.0512
forward,trace66.csv,500000,0.19999963999999998,ok,,783.0078594975042,0.5783483606119235,-0.0021405024957630303,572.0,True,4.996974667381693e-07,0.0004
forward,trace67.csv,500000,0.19999963999999998,ok,,774.5514544286722,0.5885111137425956,0.0014544286722184552,570.0,True,4.992059169928176e-07,0.0216
forward,trace68.csv,500000,0.19999963999999998,ok,,773.581576246922,0.5725835248048021,0.0015762469220135245,570.0,True,4.99678562249084e-07,0.0012
forward,trace69.csv,500000,0.19999963999999998,ok,,772.7361562556283,0.5820344307114786,-0.003843744371692992,570.0,True,4.999054493137756e-07,0.0018
forward,trace70.csv,500000,0.19999963999999998,ok,,771.8353139939028,0.5714413814939987,-0.004686006097244899,570.0,True,4.995084350589707e-07,0.6214
forward,trace71.csv,500000,0.19999963999999998,ok,,771.4589139811885,0.5769268369947207,-0.0010860188115202618,570.0,True,4.99300421119564e-07,0.4902
forward,trace72.csv,500000,0.19999963999999998,ok,,770.4874285528165,0.5746357570976276,-0.002571447183527198,570.0,True,4.990924339365321e-07,0.2486
forward,trace73.csv,500000,0.19999963999999998,ok,,770.1728800510754,0.5758514448726566,0.0028800510754081188,570.0,True,4.994894842180742e-07,0.599
forward,trace74.csv,500000,0.19999963999999998,ok,,769.5407606911783,0.5749974791928166,0.0007606911783568648,570.0,True,4.991113401464631e-07,0.0306
forward,trace75.csv,500000,0.19999963999999998,ok,,768.6833010652659,0.57038129411187,0.0033010652659868356,570.0,True,4.985063107865173e-07,0.0552
forward,trace76.csv,500000,0.19999963999999998,ok,,767.584961931807,0.5734313256663361,0.004961931806974462,570.0,True,4.991680964683276e-07,0.686
forward,trace77.csv,500000,0.19999963999999998,ok,,766.419456642534,0.5733063556614805,-0.0005433574659718943,570.0,True,4.999810814809713e-07,0.1578
forward,trace78.csv,500000,0.19999963999999998,ok,,764.9493684789629,0.5755447397923316,-0.0006315210371212743,570.0,True,4.984685086362184e-07,0.005
forward,trace79.csv,500000,0.19999963999999998,ok,,764.1677179226937,0.5749351519681462,-0.0022820773062903754,570.0,True,4.994138673719561e-07,0.0288
forward,trace80.csv,500000,0.19999963999999998,ok,,762.1801247277394,0.5721669323356836,0.00012472773948957183,570.0,True,4.988655601390057e-07,0.0524
forward,trace81.csv,500000,0.19999963999999998,ok,,761.0464542834842,0.5738709900161622,-0.0035457165157595227,569.0,True,4.989033751678917e-07,0.3284
forward,trace82.csv,500000,0.19999963999999998,ok,,760.1678317869848,0.5730294751017679,-0.0021682130151248202,569.0,True,4.994706254146664e-07,0.2348
forward,trace83.csv,500000,0.19999963999999998,ok,,759.4815196317069,0.5714223209361385,0.0015196317068557619,569.0,True,4.999432871299891e-07,0.0768
forward,trace84.csv,500000,0.19999963999999998,ok,,757.9822301488647,0.5735855514146917,0.0022301488646689904,568.0,True,4.991680764565576e-07,0.0976
forward,trace85.csv,500000,0.19999963999999998,ok,,756.3472426352483,0.5721821805951145,-0.002757364751687419,568.0,True,4.986954329488924e-07,0.035
forward,trace86.csv,500000,0.19999963999999998,ok,,754.0714973583692,0.5716868994543816,0.001497358369192625,568.0,True,4.995250014738772e-07,0.0704
forward,trace87.csv,500000,0.19999963999999998,ok,,754.8440006770372,0.5689732544208226,0.00400067703719742,568.0,True,4.999433077523818e-07,0.05
forward,trace88.csv,500000,0.19999963999999998,ok,,754.5979227186785,0.5767262677477608,-0.002077281321476221,568.0,True,4.995084222081392e-07,0.1584
forward,trace89.csv,500000,0.19999963999999998,ok,,753.2603549812089,0.5754788732409654,0.00035498120894317253,568.0,True,4.99887848504077e-07,0.0094
forward,trace90.csv,500000,0.19999963999999998,ok,,752.5741715671479,0.5692714732037143,0.0041715671478641525,568.0,True,4.989081270334594e-07,0.0504
forward,trace91.csv,500000,0.19999963999999998,ok,,751.1085439123151,0.5704683306561752,-0.0014560876849145643,568.0,True,4.998152703661329e-07,0.4336
forward,trace92.csv,500000,0.19999963999999998,ok,,749.4767407823929,0.5775877069123379,-0.0032592176071375434,568.0,True,4.985819707647998e-07,0.0192
forward,trace93.csv,500000,0.19999963999999998,ok,,748.9620881718656,0.5756502120276521,0.0020881718655800796,568.0,True,4.999043254905189e-07,0.0174
forward,trace94.csv,500000,0.19999963999999998,ok,,750.2949254389778,0.5746165274069858,0.004925438977807062,568.0,True,4.998383792420569e-07,0.0846
forward,trace95.csv,500000,0.19999963999999998,ok,,749.2477159099634,0.5746314768108136,-0.0022840900365963535,568.0,True,4.998416662516103e-07,0.0158
forward,trace96.csv,500000,0.19999963999999998,ok,,748.5707809727554,0.573724234584106,0.0007809727553649282,568.0,True,4.996704623672077e-07,0.0444
forward,trace97.csv,500000,0.19999963999999998,ok,,747.6610952902121,0.5740173391560908,0.0010952902121061925,568.0,True,4.997954849428332e-07,0.0958
forward,trace98.csv,500000,0.19999963999999998,ok,,746.8320645145617,0.5755233202088712,0.002064514561652686,568.0,True,4.995150939546278e-07,0.0516
forward,trace99.csv,500000,0.19999963999999998,ok,,746.1959701198302,0.576394960037806,-0.004029880169809985,567.0,True,4.97882247985082e-07,0.0092
forward,trace100.csv,500000,0.19999963999999998,ok,,744.6401839373252,0.5757795722460762,0.00018393732523236395,567.0,True,4.989741146932403e-07,0.0158
forward,trace101.csv,500000,0.19999963999999998,ok,,743.7085605803275,0.5750078418687652,-0.0014394196725788788,566.0,True,4.990796723669533e-07,0.1028
forward,trace102.csv,500000,0.19999963999999998,ok,,743.3105895628375,0.5740027440178234,0.0005895628376038076,566.0,True,4.998746334639037e-07,0.0208
forward,trace103.csv,500000,0.19999963999999998,ok,,742.4762025125439,0.5751536418399097,-0.0037974874561541583,566.0,True,4.98692068043316e-07,0.1918
forward,trace104.csv,500000,0.19999963999999998,ok,,741.8206830110721,0.5717575804733174,0.0006830110720557059,567.0,True,4.992578023221839e-07,0.2376
forward,trace105.csv,500000,0.19999963999999998,ok,,740.8940016324549,0.5724738425576321,0.0040016324549014826,566.0,True,4.994821001247374e-07,0.0338
forward,trace106.csv,500000,0.19999963999999998,ok,,740.0047405278891,0.577668318672247,0.004740527889111945,566.0,True,4.978723436022126e-07,0.0042
forward,trace107.csv,500000,0.19999963999999998,ok,,739.5803835003964,0.5771217627711784,0.00038350039631041,566.0,True,4.997592011890539e-07,0.005
forward,trace108.csv,500000,0.19999963999999998,ok,,738.8355248620669,0.5787873896423064,-0.004475137933127371,566.0,True,4.997492818459293e-07,0.0102
forward,trace109.csv,500000,0.19999963999999998,ok,,738.0091724130463,0.5704625691092463,-0.0008275869537328617,566.0,True,4.99971300180202e-07,0.0482
forward,trace110.csv,500000,0.19999963999999998,ok,,736.917631502828,0.5785623960924775,-0.002368497171914896,566.0,True,4.997097083347946e-07,0.0464
forward,trace111.csv,500000,0.19999963999999998,ok,,736.754116137553,0.5846235547189572,0.004116137552955479,566.0,True,4.999472282829487e-07,0.0588
forward,trace112.csv,500000,0.19999963999999998,ok,,735.9669018807102,0.5720069993300997,-0.0030981192898025256,566.0,True,4.993204548719987e-07,0.0606
forward,trace113.csv,500000,0.19999963999999998,ok,,734.9015075294703,0.5787313825551929,0.001507529470359259,566.0,True,4.993765404526229e-07,0.1022
forward,trace114.csv,500000,0.19999963999999998,ok,,734.5279553102768,0.5785099533855161,-0.002044689723220472,565.0,True,4.964275088503722e-07,0.1482
forward,trace115.csv,500000,0.19999963999999998,ok,,734.0197206568424,0.5787620415194723,-0.0002793431575582872,565.0,True,4.995833767507118e-07,0.161
forward,trace116.csv,500000,0.19999963999999998,ok,,733.4257728928607,0.5788400775664913,-0.00422710713928609,566.0,True,4.997031228803905e-07,0.0008
forward,trace117.csv,500000,0.19999963999999998,ok,,733.0782334496297,0.578015905968181,-0.001766550370348341,566.0,True,4.992248005541988e-07,0.1956
forward,trace118.csv,500000,0.19999963999999998,ok,,731.8080785203528,0.5778832871440287,-0.0019214796471942464,566.0,True,4.992577871121284e-07,0.0844
